train_batch,lambda_w,noise_dim,L1,L2,MSE_mean,MSE_sd,L1_mean,L1_sd,L2_mean,L2_sd,MSE_mean_mean,MSE_mean_sd,MSE_sd_mean,MSE_sd_sd
5000,0.0,1,1.265(0.035),3.937(0.509),0.745(0.325),0.875(0.061),1.265,0.035,3.937,0.509,0.745,0.325,0.875,0.061
5000,0.2,1,1.275(0.039),3.957(0.528),0.764(0.325),0.384(0.071),1.275,0.039,3.957,0.528,0.764,0.325,0.384,0.071
5000,0.5,1,1.280(0.040),3.983(0.564),0.798(0.342),0.408(0.242),1.28,0.04,3.983,0.564,0.798,0.342,0.408,0.242
5000,0.9,1,1.296(0.026),4.135(0.582),0.955(0.393),0.420(0.106),1.296,0.026,4.135,0.582,0.955,0.393,0.42,0.106
5000,1.0,1,1.920(0.113),8.130(1.192),5.159(0.811),0.757(0.230),1.92,0.113,8.13,1.192,5.159,0.811,0.757,0.23
4096,0.0,1,1.268(0.039),3.944(0.545),0.762(0.339),0.899(0.059),1.268,0.039,3.944,0.545,0.762,0.339,0.899,0.059
4096,0.2,1,1.275(0.040),3.973(0.564),0.786(0.350),0.409(0.064),1.275,0.04,3.973,0.564,0.786,0.35,0.409,0.064
4096,0.5,1,1.284(0.047),4.023(0.599),0.842(0.377),0.400(0.252),1.284,0.047,4.023,0.599,0.842,0.377,0.4,0.252
4096,0.9,1,1.295(0.027),4.167(0.611),0.988(0.414),0.409(0.100),1.295,0.027,4.167,0.611,0.988,0.414,0.409,0.1
4096,1.0,1,1.938(0.133),8.105(1.301),5.115(0.864),0.748(0.235),1.938,0.133,8.105,1.301,5.115,0.864,0.748,0.235
2048,0.0,1,1.232(0.030),3.740(0.405),0.497(0.251),0.787(0.093),1.232,0.03,3.74,0.405,0.497,0.251,0.787,0.093
2048,0.2,1,1.243(0.027),3.780(0.412),0.534(0.248),0.354(0.038),1.243,0.027,3.78,0.412,0.534,0.248,0.354,0.038
2048,0.5,1,1.244(0.030),3.790(0.433),0.545(0.259),0.383(0.046),1.244,0.03,3.79,0.433,0.545,0.259,0.383,0.046
2048,0.9,1,1.268(0.031),3.907(0.484),0.665(0.307),0.509(0.084),1.268,0.031,3.907,0.484,0.665,0.307,0.509,0.084
2048,1.0,1,1.810(0.104),7.143(1.089),4.094(0.608),0.771(0.245),1.81,0.104,7.143,1.089,4.094,0.608,0.771,0.245
1024,0.0,1,1.224(0.024),3.622(0.286),0.343(0.165),0.717(0.089),1.224,0.024,3.622,0.286,0.343,0.165,0.717,0.089
1024,0.2,1,1.230(0.026),3.638(0.278),0.357(0.170),0.361(0.037),1.23,0.026,3.638,0.278,0.357,0.17,0.361,0.037
1024,0.5,1,1.234(0.029),3.661(0.303),0.371(0.169),0.402(0.030),1.234,0.029,3.661,0.303,0.371,0.169,0.402,0.03
1024,0.9,1,1.243(0.022),3.741(0.301),0.483(0.193),0.544(0.099),1.243,0.022,3.741,0.301,0.483,0.193,0.544,0.099
1024,1.0,1,1.601(0.146),6.031(1.398),2.949(1.068),0.593(0.164),1.601,0.146,6.031,1.398,2.949,1.068,0.593,0.164
512,0.0,1,1.223(0.026),3.540(0.226),0.246(0.106),0.741(0.119),1.223,0.026,3.54,0.226,0.246,0.106,0.741,0.119
512,0.2,1,1.230(0.018),3.561(0.179),0.257(0.104),0.296(0.062),1.23,0.018,3.561,0.179,0.257,0.104,0.296,0.062
512,0.5,1,1.239(0.018),3.612(0.147),0.283(0.099),0.390(0.056),1.239,0.018,3.612,0.147,0.283,0.099,0.39,0.056
512,0.9,1,1.234(0.012),3.618(0.171),0.308(0.074),0.471(0.072),1.234,0.012,3.618,0.171,0.308,0.074,0.471,0.072
